id,first_name,surname,email,status
1,Customer1,Test1,customer1@example.com,active
2,Customer2,Test2,customer2@example.com,active
3,Customer3,Test3,customer3@example.com,active
4,Customer4,Test4,customer4@example.com,active
5,Customer5,Test5,customer5@example.com,inactive
6,Customer6,Test6,customer6@example.com,active
7,Customer7,Test7,customer7@example.com,active
8,Customer8,Test8,customer8@example.com,active
9,Customer9,Test9,customer9@example.com,active
10,Customer10,Test10,customer10@example.com,inactive
11,Customer11,Test11,customer11@example.com,active
12,Customer12,Test12,customer12@example.com,active
13,Customer13,Test13,customer13@example.com,active
14,Customer14,Test14,customer14@example.com,active
15,Customer15,Test15,customer15@example.com,inactive
16,Customer16,Test16,customer16@example.com,active
17,Customer17,Test17,customer17@example.com,active
18,Customer18,Test18,customer18@example.com,active
19,Customer19,Test19,customer19@example.com,active
20,Customer20,Test20,customer20@example.com,inactive
21,Customer21,Test21,customer21@example.com,active
22,Customer22,Test22,customer22@example.com,active
23,Customer23,Test23,customer23@example.com,active
24,Customer24,Test24,customer24@example.com,active
25,Customer25,Test25,customer25@example.com,inactive
26,Customer26,Test26,customer26@example.com,active
27,Customer27,Test27,customer27@example.com,active
28,Customer28,Test28,customer28@example.com,active
29,Customer29,Test29,customer29@example.com,active
30,Customer30,Test30,customer30@example.com,inactive
31,Customer31,Test31,customer31@example.com,active
32,Customer32,Test32,customer32@example.com,active
33,Customer33,Test33,customer33@example.com,active
34,Customer34,Test34,customer34@example.com,active
35,Customer35,Test35,customer35@example.com,inactive
36,Customer36,Test36,customer36@example.com,active
37,Customer37,Test37,customer37@example.com,active
38,Customer38,Test38,customer38@example.com,active
39,Customer39,Test39,customer39@example.com,active
40,Customer40,Test40,customer40@example.com,inactive
41,Customer41,Test41,customer41@example.com,active
42,Customer42,Test42,customer42@example.com,active
43,Customer43,Test43,customer43@example.com,active
44,Customer44,Test44,customer44@example.com,active
45,Customer45,Test45,customer45@example.com,inactive
46,Customer46,Test46,customer46@example.com,active
47,Customer47,Test47,customer47@example.com,active
48,Customer48,Test48,customer48@example.com,active
49,Customer49,Test49,customer49@example.com,active
50,Customer50,Test50,customer50@example.com,inactive
